,coordinates,elevation
3,"(44.934754, -72.5243246)",734
4,"(44.9350322, -72.5239193)",734
5,"(44.9353339, -72.5233773)",734
6,"(44.9356244, -72.5226936)",695
7,"(44.9358989, -72.5220761)",695
8,"(44.9361019, -72.521534)",695
9,"(44.9362305, -72.5210242)",695
10,"(44.9364635, -72.5205258)",686
11,"(44.9367627, -72.5201262)",686
12,"(44.9369827, -72.5195465)",686
13,"(44.9371424, -72.518839)",686
14,"(44.9374227, -72.5181284)",679
15,"(44.9375334, -72.5174856)",643
16,"(44.9376385, -72.5166835)",643
17,"(44.9377465, -72.5161479)",628
18,"(44.9378367, -72.5157889)",628
19,"(44.9378859, -72.5155167)",628
0,"(44.9306001, -72.5149007)",817
1,"(44.9307864, -72.5145532)",772
2,"(44.9309622, -72.5141435)",772
3,"(44.9311731, -72.5136594)",772
4,"(44.9313225, -72.5132622)",736
5,"(44.9313577, -72.5127905)",736
6,"(44.9312698, -72.5125422)",736
7,"(44.931094, -72.5125174)",772
8,"(44.9308655, -72.5124305)",714
9,"(44.930445, -72.512179)",714
0,"(44.9259151, -72.5162164)",792
1,"(44.9260419, -72.51586)",792
2,"(44.9260281, -72.5156286)",792
3,"(44.9260086, -72.5150208)",792
4,"(44.926061, -72.5143466)",742
5,"(44.926083, -72.513643)",742
6,"(44.9261631, -72.5131755)",742
7,"(44.926225, -72.5127823)",742
8,"(44.9263289, -72.512635)",742
9,"(44.9266988, -72.5123467)",702
10,"(44.9270241, -72.5119954)",702
11,"(44.9272537, -72.5117612)",696
12,"(44.9274438, -72.5115892)",696
13,"(44.9274773, -72.5114393)",696
14,"(44.9273732, -72.5111796)",696
15,"(44.9272845, -72.5109243)",696
16,"(44.9273578, -72.5106995)",696
17,"(44.9275152, -72.5104839)",696
18,"(44.9276173, -72.5100676)",661
0,"(44.9231864, -72.5072067)",728
1,"(44.923623, -72.5067982)",728
2,"(44.9238734, -72.5065408)",728
3,"(44.9241687, -72.5062047)",698
4,"(44.9244525, -72.5058655)",698
5,"(44.9247963, -72.5054801)",698
6,"(44.925031, -72.5052412)",650
7,"(44.9255167, -72.5047402)",650
8,"(44.925915, -72.5042778)",650
9,"(44.9261934, -72.5040619)",620
10,"(44.9265372, -72.5038693)",620
11,"(44.9269082, -72.5038307)",620
12,"(44.9272748, -72.5038215)",601
13,"(44.9275656, -72.5038374)",601
0,"(44.9202339, -72.5119237)",955
1,"(44.920283, -72.5121704)",955
2,"(44.9202978, -72.5125581)",943
3,"(44.920403, -72.512965)",943
4,"(44.9204467, -72.5131338)",943
5,"(44.9205286, -72.5135192)",943
6,"(44.920539, -72.5137884)",943
7,"(44.9204919, -72.5141137)",943
8,"(44.920433, -72.5144466)",943
9,"(44.9204541, -72.5147515)",922
10,"(44.9205671, -72.5152)",922
11,"(44.9207082, -72.5154857)",922
12,"(44.9208888, -72.5157929)",904
13,"(44.9211016, -72.5160704)",904
14,"(44.9213758, -72.5163291)",904
0,"(44.9273677, -72.5222904)",1020
1,"(44.9271489, -72.5224227)",1020
2,"(44.9269256, -72.5225053)",999
3,"(44.926735, -72.5225224)",999
4,"(44.9264186, -72.5225224)",999
5,"(44.9259879, -72.5225198)",999
0,"(44.9233179, -72.5250603)",1159
1,"(44.9233485, -72.5252459)",1159
2,"(44.9234631, -72.5256123)",1159
3,"(44.9235944, -72.5260595)",1159
4,"(44.9236561, -72.5264557)",1159
5,"(44.9236888, -72.5267731)",1159
6,"(44.9237393, -72.5271394)",1117
7,"(44.9237797, -72.5275771)",1117
8,"(44.9238302, -72.527972)",1117
9,"(44.9238909, -72.5283288)",1117
10,"(44.923965, -72.528638)",1117
11,"(44.9240424, -72.5289472)",1117
12,"(44.9240963, -72.5291851)",1084
13,"(44.9241671, -72.5293849)",1084
0,"(44.9307952, -72.5209708)",926
1,"(44.9308921, -72.520948)",926
2,"(44.9309603, -72.5209724)",926
3,"(44.9310663, -72.5210885)",926
4,"(44.9312182, -72.5211811)",926
5,"(44.9313135, -72.5211663)",828
6,"(44.931455, -72.5210539)",828
7,"(44.9315668, -72.5210824)",828
8,"(44.9316542, -72.5211583)",828
9,"(44.9317588, -72.5211604)",828
10,"(44.9318492, -72.5210381)",828
11,"(44.9318746, -72.5208485)",828
12,"(44.931964, -72.5207101)",841
13,"(44.9321134, -72.5206977)",841
14,"(44.9322675, -72.5207465)",841
15,"(44.932385, -72.5208608)",828
16,"(44.9324913, -72.5210577)",828
17,"(44.9325792, -72.5212687)",828
18,"(44.9326846, -72.5216039)",828
19,"(44.932711, -72.5218894)",828
20,"(44.9327813, -72.5221997)",828
21,"(44.932834, -72.5223859)",828
22,"(44.9329834, -72.5226217)",828
23,"(44.9331592, -72.5227211)",828
24,"(44.9333789, -72.5227335)",737
25,"(44.9336601, -72.5227086)",737
26,"(44.9339829, -72.5226646)",737
27,"(44.9342749, -72.5226426)",737
28,"(44.9345212, -72.5225597)",737
29,"(44.9346834, -72.522383)",737
30,"(44.9348915, -72.5221298)",737
31,"(44.9350924, -72.5220135)",737
32,"(44.9353124, -72.5219592)",737
33,"(44.9355133, -72.5218838)",695
34,"(44.9357515, -72.5217901)",695
35,"(44.935936, -72.5216783)",695
36,"(44.9361019, -72.521534)",695
37,"(44.9364553, -72.5212381)",695
38,"(44.9367627, -72.5210702)",695
39,"(44.9370598, -72.520897)",695
40,"(44.9374259, -72.5207833)",686
0,"(44.9276193, -72.5075343)",638
1,"(44.9276463, -72.5069457)",638
2,"(44.9276617, -72.5063244)",638
3,"(44.9276658, -72.5059653)",620
4,"(44.9276694, -72.5056485)",620
5,"(44.9276694, -72.5051362)",620
6,"(44.927708, -72.5043514)",620
0,"(44.9328077, -72.5148511)",747
1,"(44.9327548, -72.5142857)",736
2,"(44.9327461, -72.5141932)",736
3,"(44.9327725, -72.5137463)",736
4,"(44.932878, -72.5131629)",736
5,"(44.9329239, -72.5129362)",736
6,"(44.9329043, -72.5126415)",736
7,"(44.932852, -72.5123254)",707
8,"(44.9328077, -72.5120581)",707
9,"(44.9327022, -72.5115616)",707
10,"(44.9326112, -72.511231)",707
11,"(44.9325792, -72.5111147)",707
12,"(44.9324737, -72.5105313)",707
13,"(44.9324122, -72.5098982)",679
14,"(44.932298, -72.5094513)",679
15,"(44.9321134, -72.5090541)",679
16,"(44.9319481, -72.5088513)",679
0,"(44.9257059, -72.5287951)",1043
1,"(44.9256684, -72.5290767)",1043
