,coordinates,elevation
56,"(44.5209818, -72.8273033)",891
57,"(44.5209402, -72.8273865)",891
58,"(44.5209351, -72.8274342)",891
59,"(44.5209477, -72.8274926)",891
60,"(44.521002, -72.8275758)",891
61,"(44.5210588, -72.827636)",891
62,"(44.5210878, -72.827705)",891
63,"(44.5210815, -72.8277952)",891
64,"(44.521053, -72.8279024)",891
65,"(44.5208078, -72.8282956)",956
66,"(44.5207774, -72.828381)",956
67,"(44.5207712, -72.8284374)",956
68,"(44.5207795, -72.8284973)",956
69,"(44.5208728, -72.8287153)",891
70,"(44.5208827, -72.828776)",891
71,"(44.520885, -72.8288401)",891
72,"(44.5208426, -72.8290831)",891
73,"(44.5208278, -72.8292675)",909
74,"(44.5208378, -72.8294671)",829
75,"(44.5208784, -72.8296668)",829
76,"(44.5208897, -72.8297854)",829
77,"(44.5208809, -72.8300313)",829
78,"(44.5208885, -72.8301605)",829
79,"(44.5209175, -72.8303357)",829
80,"(44.5209907, -72.8305693)",829
81,"(44.5210058, -72.8306755)",829
82,"(44.521002, -72.8307923)",829
83,"(44.5209541, -72.8309515)",829
84,"(44.5209377, -72.8310683)",829
85,"(44.5209478, -72.8311533)",829
86,"(44.5210046, -72.8312594)",779
87,"(44.5210538, -72.8313532)",779
88,"(44.5210815, -72.8314222)",779
89,"(44.5210878, -72.8314966)",779
90,"(44.5210853, -72.8315744)",779
91,"(44.5210967, -72.8316983)",779
92,"(44.5211194, -72.8317797)",779
93,"(44.5211761, -72.8318912)",779
94,"(44.5211989, -72.831962)",779
95,"(44.5212064, -72.8320239)",779
96,"(44.5211976, -72.8321637)",779
97,"(44.5211648, -72.8323601)",779
98,"(44.5211585, -72.8324875)",779
99,"(44.5211724, -72.8325725)",779
100,"(44.521214, -72.832638)",779
101,"(44.5213654, -72.8327636)",779
102,"(44.5214749, -72.8328498)",779
0,"(44.5346392, -72.8132059)",1044
1,"(44.5343303, -72.813198)",1044
2,"(44.5340102, -72.8130719)",1044
3,"(44.5335946, -72.8126071)",1044
4,"(44.5332126, -72.811961)",960
5,"(44.5330778, -72.8115986)",960
6,"(44.5331228, -72.8114016)",960
7,"(44.5329992, -72.8112125)",960
8,"(44.5326398, -72.8108186)",960
9,"(44.532309, -72.8103376)",916
10,"(44.531593, -72.8096074)",916
11,"(44.5312048, -72.8091879)",918
12,"(44.5310667, -72.8089418)",918
0,"(44.5242896, -72.8031438)",1008
1,"(44.5245292, -72.8027442)",1008
2,"(44.5248101, -72.8021296)",1008
3,"(44.5252033, -72.801389)",863
4,"(44.5253886, -72.8009714)",863
5,"(44.5256989, -72.8006693)",863
0,"(44.5205155, -72.7959033)",853
1,"(44.5207492, -72.7958932)",853
2,"(44.5208858, -72.7957268)",801
3,"(44.5209793, -72.795515)",801
4,"(44.5211087, -72.7954898)",801
5,"(44.5211985, -72.7955393)",801
6,"(44.5212704, -72.7952052)",801
7,"(44.5214367, -72.7948144)",801
8,"(44.5215221, -72.7944488)",801
9,"(44.5215176, -72.7937177)",744
10,"(44.5217018, -72.7931378)",744
11,"(44.5217434, -72.7927624)",744
12,"(44.5217737, -72.7924885)",744
13,"(44.5217782, -72.7918078)",744
14,"(44.5219355, -72.7914485)",691
15,"(44.5223804, -72.790938)",691
16,"(44.5230545, -72.7902509)",645
17,"(44.5239668, -72.7895702)",616
18,"(44.5246543, -72.7888895)",616
19,"(44.5246908, -72.7888355)",616
20,"(44.5252706, -72.7879776)",559
0,"(44.5242724, -72.8071439)",1090
1,"(44.5244485, -72.8066447)",1090
2,"(44.5245676, -72.8063353)",1090
3,"(44.5246205, -72.8060513)",1057
4,"(44.5247954, -72.805522)",1057
5,"(44.5249656, -72.8050735)",1057
6,"(44.5253821, -72.8042312)",936
0,"(44.5241943, -72.8090576)",1098
1,"(44.5243779, -72.809197)",1098
2,"(44.5245156, -72.80924)",1098
3,"(44.524638, -72.8092936)",1098
