,coordinates,elevation
6,"(44.171858, -71.7004535)",719
7,"(44.1721467, -71.700471)",719
8,"(44.1727654, -71.7006189)",719
9,"(44.1734088, -71.7008568)",677
10,"(44.1737344, -71.7012411)",677
11,"(44.1740546, -71.7012783)",677
12,"(44.1745595, -71.701327)",677
13,"(44.1747989, -71.7013979)",677
14,"(44.175033, -71.7014664)",638
15,"(44.17546, -71.7015683)",638
16,"(44.1756716, -71.7015308)",638
17,"(44.175818, -71.7014568)",638
18,"(44.1761473, -71.7013229)",638
19,"(44.1765154, -71.7012074)",638
0,"(44.1733202, -71.7013919)",677
1,"(44.1733202, -71.7013919)",677
2,"(44.1727097, -71.701483)",719
3,"(44.1721009, -71.7016908)",719
4,"(44.171297, -71.7017188)",719
5,"(44.1708066, -71.7014115)",764
6,"(44.1704618, -71.7009062)",764
7,"(44.1703779, -71.7006166)",764
8,"(44.1704618, -71.7003393)",764
9,"(44.1714947, -71.7006634)",719
10,"(44.1719603, -71.700514)",719
11,"(44.1725163, -71.7007755)",719
12,"(44.1729497, -71.7008447)",677
13,"(44.1733537, -71.701009)",677
14,"(44.1734486, -71.701261)",677
0,"(44.1754707, -71.7058835)",649
1,"(44.1754642, -71.705821)",649
2,"(44.1754116, -71.7054073)",649
3,"(44.1753637, -71.7051206)",649
4,"(44.1753249, -71.7043298)",649
5,"(44.1752297, -71.7038647)",642
6,"(44.1751368, -71.7034108)",642
7,"(44.1749757, -71.7026242)",689
8,"(44.1750708, -71.702493)",642
0,"(44.1750708, -71.702493)",642
1,"(44.1768377, -71.7022978)",642
2,"(44.1770004, -71.7022992)",642
3,"(44.1772024, -71.7024199)",613
0,"(44.1754116, -71.7054073)",649
1,"(44.1755614, -71.705074)",649
2,"(44.1756274, -71.7046038)",649
3,"(44.1756587, -71.7044608)",649
4,"(44.1758354, -71.7038261)",642
5,"(44.1761293, -71.7032931)",642
6,"(44.1764939, -71.7029696)",642
7,"(44.1769823, -71.7028371)",642
8,"(44.1771678, -71.7028705)",613
9,"(44.1773563, -71.7029108)",613
10,"(44.1775765, -71.7030261)",613
0,"(44.177767, -71.7030664)",613
1,"(44.1775765, -71.7030261)",613
2,"(44.1773515, -71.7030502)",613
3,"(44.1772226, -71.703061)",613
4,"(44.1770736, -71.7030816)",642
5,"(44.1766902, -71.7032162)",642
6,"(44.1764367, -71.7033888)",642
7,"(44.1761475, -71.7037171)",642
8,"(44.1759216, -71.7043284)",649
9,"(44.1757073, -71.705114)",649
10,"(44.1754642, -71.705821)",649
0,"(44.1782228, -71.7047146)",613
1,"(44.1782228, -71.7047146)",613
2,"(44.1779182, -71.704624)",613
3,"(44.1777477, -71.7046636)",613
4,"(44.1775227, -71.7046351)",613
5,"(44.1772563, -71.7046013)",613
6,"(44.1768989, -71.7046013)",649
7,"(44.1764765, -71.7049241)",649
8,"(44.1760499, -71.7050715)",649
9,"(44.1759526, -71.7049694)",649
10,"(44.1758714, -71.7047599)",649
11,"(44.1759161, -71.70459)",649
12,"(44.1759932, -71.7044145)",649
13,"(44.1761963, -71.7038652)",642
14,"(44.1764359, -71.7035254)",642
15,"(44.1766268, -71.7034009)",642
16,"(44.1768542, -71.703248)",642
17,"(44.1772116, -71.7032423)",613
18,"(44.1777355, -71.7034292)",613
19,"(44.1780755, -71.7040105)",613
20,"(44.1785964, -71.7046806)",613
21,"(44.1787751, -71.7049128)",613
22,"(44.178901, -71.7048392)",613
23,"(44.1790431, -71.7051449)",613
24,"(44.1788888, -71.7053884)",613
25,"(44.178503, -71.7050317)",613
0,"(44.1773515, -71.7030502)",613
1,"(44.1774919, -71.7034579)",613
2,"(44.1775496, -71.7037717)",613
3,"(44.1775612, -71.7040453)",613
4,"(44.1775208, -71.7042599)",613
5,"(44.1775131, -71.7045013)",613
6,"(44.1775689, -71.704678)",613
7,"(44.177637, -71.7048486)",613
8,"(44.1777147, -71.7052553)",613
9,"(44.1777342, -71.7057088)",613
10,"(44.1776718, -71.7060736)",613
11,"(44.1776476, -71.706537)",609
12,"(44.1777501, -71.7070694)",609
13,"(44.1778329, -71.7072832)",609
0,"(44.1760565, -71.7076777)",648
1,"(44.1760817, -71.7075767)",648
2,"(44.1763033, -71.7071991)",648
3,"(44.1764178, -71.7070505)",648
4,"(44.1764818, -71.7069673)",648
5,"(44.177023, -71.7056352)",649
6,"(44.1771184, -71.7050831)",613
7,"(44.1771924, -71.704798)",613
0,"(44.1754642, -71.705821)",649
1,"(44.1757279, -71.7054186)",649
2,"(44.1758919, -71.7053309)",649
3,"(44.1766138, -71.7049753)",649
4,"(44.1770939, -71.7048034)",613
5,"(44.1771924, -71.704798)",613
6,"(44.1773944, -71.7048034)",613
7,"(44.1779636, -71.704833)",613
8,"(44.1782429, -71.7049365)",613
9,"(44.1784126, -71.7050893)",613
10,"(44.1787732, -71.7054097)",613
11,"(44.1790079, -71.7056768)",613
12,"(44.1792272, -71.7058967)",602
0,"(44.1772024, -71.7024199)",613
1,"(44.1774313, -71.7026318)",613
